SheetName,ShamsiDate,Time,Timestamp,CO2_Klin1,CO2_Klin2,CO2_gt40mm,pct_lt10,pct_10_60,pct_gt60
10,1404/07/10,16:00,2025-10-02 16:00:00,4.39,0.78,,,,
10,1404/07/10,20:00,2025-10-02 20:00:00,3.65,5.53,,,,
10,1404/07/10,00:00,2025-10-03 00:00:00,4.07,3.41,,,,
10,1404/07/10,04:00,2025-10-03 04:00:00,4.32,5.54,,,,
11,1404/07/11,08:00,2025-10-03 08:00:00,3.48,3.39,4.58,3.7,96.3,0.0
11,1404/07/11,10:00,2025-10-03 10:00:00,,,,,,
11,1404/07/11,12:00,2025-10-03 12:00:00,2.74,2.24,,,,
11,1404/07/11,14:00,2025-10-03 14:00:00,,,,,,
11,1404/07/11,16:00,2025-10-03 16:00:00,2.07,4.8,,,,
11,1404/07/11,20:00,2025-10-03 20:00:00,2.07,4.63,,,,
11,1404/07/11,00:00,2025-10-04 00:00:00,4.34,5.54,,,,
11,1404/07/11,04:00,2025-10-04 04:00:00,4.7,5.96,,,,
12,1404/07/12,08:00,2025-10-04 08:00:00,6.11,6.53,9.0,2.9,97.1,0.0
12,1404/07/12,10:00,2025-10-04 10:00:00,,,9.77,3.1,96.9,0.0
12,1404/07/12,12:00,2025-10-04 12:00:00,6.14,3.8,,,,
12,1404/07/12,14:00,2025-10-04 14:00:00,,,9.44,2.8,97.2,0.0
12,1404/07/12,16:00,2025-10-04 16:00:00,5.15,7.46,,,,
12,1404/07/12,20:00,2025-10-04 20:00:00,7.42,1.5,,,,
12,1404/07/12,00:00,2025-10-05 00:00:00,5.44,4.55,,,,
12,1404/07/12,04:00,2025-10-05 04:00:00,4.44,6.6,,,,
13,1404/07/13,08:00,2025-10-05 08:00:00,1.4,3.5,11.96,4.1,95.9,0.0
13,1404/07/13,10:00,2025-10-05 10:00:00,,,7.44,5.4,94.6,0.0
13,1404/07/13,12:00,2025-10-05 12:00:00,3.65,2.8,,,,
13,1404/07/13,14:00,2025-10-05 14:00:00,,,4.48,4.0,96.0,0.0
13,1404/07/13,16:00,2025-10-05 16:00:00,5.63,6.65,,,,
13,1404/07/13,20:00,2025-10-05 20:00:00,3.94,5.94,,,,
13,1404/07/13,00:00,2025-10-06 00:00:00,4.42,6.09,,,,
13,1404/07/13,04:00,2025-10-06 04:00:00,4.04,5.23,,,,
14,1404/07/14,08:00,2025-10-06 08:00:00,9.62,1.97,12.1,3.5,96.5,0.0
14,1404/07/14,10:00,2025-10-06 10:00:00,6.64,,9.66,2.9,97.1,0.0
14,1404/07/14,12:00,2025-10-06 12:00:00,4.5,9.34,,,,
14,1404/07/14,14:00,2025-10-06 14:00:00,,5.13,7.74,3.7,96.3,0.0
14,1404/07/14,16:00,2025-10-06 16:00:00,1.95,3.49,,,,
14,1404/07/14,20:00,2025-10-06 20:00:00,5.22,5.11,,,,
14,1404/07/14,00:00,2025-10-07 00:00:00,2.04,4.96,,,,
14,1404/07/14,04:00,2025-10-07 04:00:00,2.94,5.59,,,,
15,1404/07/15,08:00,2025-10-07 08:00:00,6.03,5.17,9.87,4.4,95.6,0.0
